File,Zone,DayType,LTE800,GSM900,LTE1800,UMTS2100,LTE2600,NR3500,E_total,Dominant_Band
P063,Sheshi_Karl_Topia,Weekday,0.957833333,0.3255,0.3841,0.271652857,0.2897875,0.226460244,1.174727231,LTE800
P064,Sheshi_Karl_Topia,Weekday,0.984933333,0.420275,0.3020375,0.1666,0.432175,0.121429512,1.21129159,LTE800
P065,Sheshi_Karl_Topia,Weekday,0.611066667,0.395325,0.3018,0.475,0.39030625,0.148789268,1.010381008,LTE800
P066,Sheshi_Karl_Topia,Weekday,1.5123,0.4176575,0.3574575,0.491697143,0.30076875,0.16878439,1.717550882,LTE800
P067,Sheshi_Karl_Topia,Weekend,0.760533333,0.4308,0.2755875,0.311071429,0.22067625,0.144616098,1.003157674,LTE800
P068,Sheshi_Karl_Topia,Weekend,0.996933333,0.477525,0.38610625,0.153214286,0.37808875,0.167008537,1.25112022,LTE800
P069,Sheshi_Karl_Topia,Weekend,0.744366667,0.287025,0.4651875,0.14501,0.390575,0.133760488,1.021926169,LTE800
P070,Sheshi_Karl_Topia,Weekend,2.142666667,0.833325,0.623675,0.333385714,0.4001875,0.177056341,2.444803985,LTE800
P071,Sheshi_Karl_Topia,Weekend,1.415766667,0.695375,0.2090525,0.363857143,0.4418375,0.118755854,1.6950988,LTE800
P072,Sheshi_Karl_Topia,Weekend,1.000866667,0.741975,0.3807,0.235782857,0.23725125,0.120997561,1.350450146,LTE800
P073,Sheshi_Karl_Topia,Weekend,0.7152,0.353025,0.19999125,0.187205714,0.2651625,0.112306341,0.891125152,LTE800
P074,Sheshi_Karl_Topia,Weekend,1.328,0.563875,0.3212,0.22479,0.27882625,0.201208537,1.534101676,LTE800
P075,Sheshi_Karl_Topia,Weekend,0.737166667,0.765175,0.4648625,0.297014286,0.570125,0.147643171,1.334190064,GSM900
P076,Sheshi_Karl_Topia,Weekend,0.806866667,0.299325,0.27155,0.195485714,0.295075,0.118052683,0.976518833,LTE800
P077,Sheshi_Karl_Topia,Weekend,0.5367,0.2332375,0.3395525,0.230757143,0.19389,0.120726585,0.750439619,LTE800
P078,Sheshi_Karl_Topia,Weekend,0.9605,0.4578,0.280725,0.17237,0.3485625,0.147040244,1.176339952,LTE800
P079,Sheshi_Karl_Topia,Weekend,0.625833333,0.241775,0.29075375,0.268967143,0.3743375,0.135819756,0.874973799,LTE800
P080,Sheshi_Karl_Topia,Weekend,0.638366667,0.505525,0.32238375,0.162725714,0.20094,0.126070488,0.921818376,LTE800
P081,Sheshi_Karl_Topia,Weekend,0.7913,0.51835,0.3571625,0.456362857,0.2157525,0.194452439,1.146749935,LTE800
P082,Sheshi_Karl_Topia,Weekend,1.705833333,0.64785,0.5580825,0.25227,0.273875,0.145535854,1.949579804,LTE800
P083,Sheshi_Karl_Topia,Weekend,0.654666667,1.000625,0.2289125,0.214085714,0.28879625,0.132335122,1.276318267,GSM900
P084,Sheshi_Karl_Topia,Weekend,0.949566667,0.356525,0.43595,0.292814286,0.1636725,0.165475366,1.165654461,LTE800
P085,Sheshi_Karl_Topia,Weekend,0.949566667,0.356525,0.43595,0.292814286,0.1636725,0.165475366,1.165654461,LTE800
P086,Sheshi_Karl_Topia,Weekend,0.716766667,0.360325,0.4368125,0.226288571,0.2993125,0.207765854,1.0091357,LTE800
P087,Sheshi_Mustafa_Qemal_Ataturk,Weekend,0.674533333,0.407575,0.4583875,0.314142857,0.52675,0.134180732,1.106972206,LTE800
P088,Sheshi_Mustafa_Qemal_Ataturk,Weekend,1.209733333,0.483425,0.3494,0.343857143,0.37157625,0.120281951,1.445686418,LTE800
